domain,split,n_images,n_classes,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,mean_confidence,median_confidence,ece_10_bins,brier_score_multiclass,negative_log_likelihood,n_confidence_ge_090,accuracy_confidence_ge_090,false_confident_ge_090,n_confidence_ge_095,accuracy_confidence_ge_095,false_confident_ge_095
PlantVillage validation,source validation,14747,27,0.9867769715874415,0.9853664162059285,0.9828705591973758,0.9839895235527528,0.9867854891363932,0.9867769715874415,0.9866985121812072,0.9768152832984924,0.9995187520980835,0.009961712317538847,0.021400461005952373,0.04437767201024775,13748,0.9986179807972069,19,13271,0.999095772737548,12
PlantDoc external test,external test,472,27,0.2288135593220339,0.29992797379440317,0.22544358933247824,0.19328658712069474,0.2850551277339277,0.2288135593220339,0.19288524931559678,0.7456622123718262,0.7652347087860107,0.5168487366478322,1.2091667364760856,5.630397497852936,168,0.2976190476190476,118,128,0.359375,82
