domain,n_images,accuracy,macro_f1,weighted_f1,mean_confidence,ece_10_bins,brier_score_multiclass,negative_log_likelihood,false_confident_ge_090,false_confident_ge_095
PlantVillage validation,14747,0.9867769715874415,0.9839895235527528,0.9866985121812072,0.9768152832984924,0.009961712317538847,0.021400461005952373,0.04437767201024775,19,12
PlantDoc external test,472,0.2288135593220339,0.19328658712069474,0.19288524931559678,0.7456622123718262,0.5168487366478322,1.2091667364760856,5.630397497852936,118,82
