confidence_threshold,n_predictions,coverage,accuracy_at_threshold,error_rate_at_threshold,false_confident_predictions
0.5,392,0.8305084745762712,0.25510204081632654,0.7448979591836735,292
0.6,344,0.7288135593220338,0.26744186046511625,0.7325581395348837,252
0.7,262,0.5550847457627118,0.3053435114503817,0.6946564885496183,182
0.8,228,0.4830508474576271,0.2894736842105263,0.7105263157894737,162
0.9,168,0.3559322033898305,0.2976190476190476,0.7023809523809523,118
0.95,128,0.2711864406779661,0.359375,0.640625,82
